Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Country,Region,Market,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Delivery_Days
IN-2022-JS156857-42035,22/01/31,1/02/22,First Class,JS-156857,Jim Sink,Corporate,Townsville,Queensland,Australia,Oceania,Asia Pacific,TEC-CO-3597,Technology,Copiers,"Brother Fax Machine, High-Speed",2565,9,0.1,28,766,Critical,1
IN-2022-MW182207-42221,22/08/05,6/08/22,First Class,MW-182207,Mitch Webber,Consumer,Geraldton,Western Australia,Australia,Oceania,Asia Pacific,OFF-AP-3577,Office Supplies,Appliances,"Breville Refrigerator, White",4191,9,0.1,1164,614,High,1
IN-2022-JH158207-42140,22/05/16,18/05/22,Second Class,JH-158207,John Huston,Consumer,Melbourne,Victoria,Australia,Oceania,Asia Pacific,TEC-PH-3147,Technology,Phones,"Apple Smart Phone, Cordless",2863,5,0.1,858,581,Critical,2
IN-2022-RW195407-42327,22/11/19,25/11/22,Standard Class,RW-195407,Rick Wilson,Corporate,Perth,Western Australia,Australia,Oceania,Asia Pacific,TEC-PH-3806,Technology,Phones,"Cisco Smart Phone, Full Size",3524,6,0.1,861,531,Low,6
IN-2022-MP181757-42347,22/12/09,11/12/22,First Class,MP-181757,Mike Pelletier,Home Office,Perth,Western Australia,Australia,Oceania,Asia Pacific,TEC-PH-3149,Technology,Phones,"Apple Smart Phone, with Caller ID",1725,3,0.1,747,479,High,2
IN-2022-CG125207-42077,22/03/14,18/03/22,Standard Class,CG-125207,Claire Gute,Consumer,Adelaide,South Australia,Australia,Oceania,Asia Pacific,OFF-AP-4745,Office Supplies,Appliances,"Hoover Stove, White",3569,7,0.1,674,458,High,4
IN-2022-TA213857-42351,22/12/13,17/12/22,Standard Class,TA-213857,Tom Ashbrook,Home Office,Launceston,Tasmania,Australia,Oceania,Asia Pacific,OFF-AP-4508,Office Supplies,Appliances,"Hamilton Beach Stove, White",4864,10,0.1,162,426,Medium,4
IN-2022-GB145307-42260,22/09/13,19/09/22,Standard Class,GB-145307,George Bell,Corporate,Brisbane,Queensland,Australia,Oceania,Asia Pacific,TEC-CO-4593,Technology,Copiers,"Hewlett Wireless Fax, Laser",4448,13,0.1,444,386,Medium,6
ID-2022-RD1993092-42140,22/05/16,18/05/22,Second Class,RD-1993092,Russell D'Ascenzo,Consumer,Manukau City,Auckland,New Zealand,Oceania,Asia Pacific,OFF-AP-4961,Office Supplies,Appliances,"KitchenAid Refrigerator, Red",1900,6,0.4,-348,360,High,2
IN-2022-NL1831092-42266,22/09/19,19/09/22,Same Day,NL-1831092,Nancy Lomonaco,Home Office,Christchurch,Canterbury,New Zealand,Oceania,Asia Pacific,OFF-ST-6046,Office Supplies,Storage,"Smead Lockers, Blue",1190,6,0,178,353,Critical,0
IN-2022-MB173057-42179,22/06/24,28/06/22,Standard Class,MB-173057,Maria Bertelson,Consumer,Sydney,New South Wales,Australia,Oceania,Asia Pacific,FUR-BO-5948,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",5486,14,0.1,2316,346,Medium,4
